ITEM_Sub_System,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Today,Issued_Last_7_Days,Issued_Last_30_Days,Released_Today,Released_Last_7_Days,Released_Last_30_Days
4000-05,PI,B,10,10,0,0,0,0,0,0,0
120-13,EL,A,392,390,2,0,0,2,0,0,0
4000-08,PI,C,315,2,313,1,1,1,0,0,0
1000-01,IN,C,1,0,1,0,1,1,0,0,0
LS-11,EL,C,20,0,20,0,0,0,0,0,0
7000-01,PI,A,1,0,1,0,0,0,0,0,0
2000-01,PI,C,15,0,15,0,0,0,0,0,0
2000-02,PI,B,2,2,0,0,0,0,0,0,0
4000-15,PI,C,62,0,62,0,0,0,0,0,0
120-01,EL,B,530,246,284,0,110,110,0,1,154
4000-06,PI,B,53,47,6,0,0,0,0,0,0
120-07,EL,A,93,19,74,0,1,1,0,19,19
LS-10,EL,B,201,0,201,0,0,0,0,0,0
4000-01,PI,C,16,0,16,0,0,0,0,0,0
5000-03,PI,A,1,1,0,0,0,0,0,0,0
120-03,EL,A,184,26,158,0,33,33,0,10,26
5000-01,PI,A,1,1,0,0,0,0,0,0,0
4000-07,PI,C,7,0,7,0,0,0,0,0,0
120-09,EL,C,11,2,9,0,4,4,0,0,2
2000-02,PI,C,17,0,17,0,0,3,0,0,0
4000-09,PI,C,9,0,9,0,0,3,0,0,0
5000-04,PI,A,2,2,0,0,0,0,0,0,0
2000-01,IN,A,2,0,2,0,2,2,0,0,0
4000-06,IN,A,2,0,2,0,0,2,0,0,0
DCS-01,IN,A,366,0,366,0,0,20,0,0,0
5000-02,PI,A,5,5,0,0,0,0,0,0,0
120-04,EL,C,175,22,153,0,4,29,0,22,22
BLD-02,PI,C,5,0,5,0,0,0,0,0,0
LS-11,EL,B,226,0,226,0,0,28,0,0,0
4000-03,PI,C,31,0,31,0,0,0,0,0,0
2000-03,PI,C,12,1,11,0,0,0,0,1,1
4000-08,PI,B,165,127,38,0,0,0,0,0,0
4000-05,PI,C,24,0,24,0,0,2,0,0,0
4000-14_AG,PI,A,4,4,0,0,0,0,0,0,0
120-12,EL,C,1,0,1,0,1,1,0,0,0
2000-02,IN,A,4,0,4,0,4,4,0,0,0
4000-06,PI,C,59,0,59,0,0,0,0,0,0
2000-04,PI,C,35,0,35,0,0,0,0,0,0
4000-01,PI,B,20,20,0,0,0,0,0,0,0
LS-12,EL,A,163,87,76,0,0,19,0,87,87
120-01,EL,C,291,146,145,0,44,44,1,1,125
4000-15,PI,B,11,11,0,0,0,0,0,0,0
4000-08,IN,A,6,0,6,0,6,6,0,0,0
120-09,EL,B,10,3,7,0,3,3,0,0,1
4000-02,PI,C,117,0,117,0,0,0,0,0,0
4000-09,PI,B,11,6,5,0,0,0,0,0,0
120-04,EL,B,596,309,287,0,6,153,0,133,141
120-17,EL,A,70,40,30,0,0,0,0,40,40
2000-05,IN,B,12,0,12,0,4,12,0,0,0
BLD-01,PI,C,2,0,2,0,0,0,0,0,0
3000-01,IN,B,1,0,1,0,0,1,0,0,0
1000-03,IN,B,4,0,4,0,4,4,0,0,0
3000-03,IN,B,6,0,6,0,0,6,0,0,0
4000-03,PI,B,6,6,0,0,0,0,0,0,0
120-18,EL,A,44,0,44,0,8,8,0,0,0
5000-05,IN,C,2,0,2,0,0,2,0,0,0
120-16,EL,B,8,5,3,0,0,0,1,5,5
3000-04,IN,B,1,0,1,0,0,1,0,0,0
4000-04,PI,B,58,53,5,0,0,0,0,0,0
TEL-02,EL,B,2,0,2,0,0,2,0,0,0
2000-05,IN,A,49,0,49,0,2,49,0,0,0
120-04,EL,A,328,200,128,0,4,43,0,116,116
LS-02,EL,C,19,3,16,0,0,0,0,0,3
1000-01,MES,C,20,0,20,0,0,0,0,0,0
LS-08,EL,C,28,0,28,0,0,0,0,0,0
1000-03,MES,C,27,0,27,0,16,16,0,0,0
120-10,EL,C,20,0,20,0,4,4,0,0,0
4000-08-01,PI,C,12,2,10,0,0,2,0,0,2
5000-04,IN,B,4,0,4,0,0,4,0,0,0
7000-01,IN,C,7,0,7,0,5,7,0,0,0
4000-03,IN,A,4,0,4,0,0,4,0,0,0
4000-02,PI,B,32,9,23,0,0,0,0,0,0
LS-06,EL,B,11,2,9,0,0,0,0,0,2
5000-03,IN,B,27,0,27,0,0,27,0,0,0
3000-02,IN,C,4,0,4,0,0,4,0,0,0
120-05,EL,C,192,30,162,0,0,18,0,14,30
TEL-06,EL,B,2,0,2,0,0,2,0,0,0
2000-05,MES,A,5,2,3,0,0,0,0,0,0
LS-09,EL,C,44,0,44,0,0,26,0,0,0
4000-04,IN,A,4,0,4,0,0,4,0,0,0
1000-02,IN,C,3,0,3,0,2,3,0,0,0
5000-05,IN,B,4,0,4,0,0,4,0,0,0
LS-11,EL,A,116,68,48,0,0,0,0,68,68
5000-04,MES,A,6,0,6,0,0,0,0,0,0
1000-03,IN,C,2,0,2,0,1,2,0,0,0
5000-02,MES,A,14,13,1,0,0,0,0,0,0
3000-04,IN,C,1,0,1,0,0,1,0,0,0
4000-02,IN,A,24,0,24,0,0,24,0,0,0
120-16,EL,C,16,12,4,0,0,0,0,12,12
3000-03,IN,C,6,0,6,0,0,6,0,0,0
3000-01,IN,C,1,0,1,0,0,1,0,0,0
4000-04,PI,C,52,0,52,0,1,3,0,0,0
120-11,EL,A,15,5,10,0,0,0,0,5,5
120-10,EL,B,64,0,64,0,12,32,0,0,0
5000-02,IN,C,111,0,111,0,0,111,0,0,0
4000-06,MES,C,4,0,4,0,0,0,0,0,0
LS-08,EL,B,137,27,110,0,0,0,0,0,0
2000-04,PI,B,8,8,0,0,0,1,0,0,7
4000-08-01,PI,B,6,6,0,0,0,0,0,0,0
5000-04,IN,C,20,0,20,0,2,20,0,0,0
LS-01,EL,A,14,2,12,0,0,0,0,0,2
TEL-06,EL,C,2,0,2,0,0,2,0,0,0
5000-03,MES,A,10,9,1,0,0,0,0,0,0
LS-03,EL,B,225,225,0,0,0,225,0,225,225
5000-01,MES,A,12,6,6,0,0,0,0,0,0
5000-01,IN,C,90,0,90,0,8,90,0,0,0
LS-06,EL,C,3,1,2,0,0,0,0,0,1
5000-03,IN,C,74,0,74,0,40,74,0,0,0
2000-04,IN,A,8,0,8,0,8,8,0,0,0
120-05,EL,B,589,270,319,0,0,157,0,118,118
1000-02,IN,B,9,0,9,0,8,9,0,0,0
LS-09,EL,B,208,5,203,0,0,91,5,5,5
2000-05,PI,B,43,41,2,0,0,0,0,0,0
TEL-02,EL,A,2,0,2,0,0,2,0,0,0
1000-03,IN,A,4,0,4,0,2,4,0,0,0
5000-02,MES,C,62,16,46,0,0,2,0,0,0
120-12,EL,A,3,0,3,0,0,0,0,0,0
5000-05,PI,C,22,0,22,0,0,0,0,0,0
3000-04,IN,A,4,0,4,0,0,4,0,0,0
120-06,EL,A,308,177,131,0,0,58,68,169,177
120-17,EL,B,14,0,14,0,0,0,0,0,0
5000-01,MES,C,51,0,51,0,0,5,0,0,0
1000-01,PI,C,37,0,37,0,0,0,0,0,0
3000-03,PI,B,31,12,19,0,0,0,0,0,0
120-05,EL,A,312,207,105,0,0,46,16,125,147
DCS-01,IN,C,249,0,249,0,0,21,0,0,0
5000-04,PI,C,91,0,91,0,0,3,0,0,0
7000-01,PI,B,18,12,6,0,0,0,0,0,0
5000-03,IN,A,207,0,207,0,100,207,0,0,0
LS-09,EL,A,23,0,23,0,0,0,0,0,0
1000-02,IN,A,8,0,8,0,4,8,0,0,0
5000-03,PI,C,78,0,78,0,0,2,0,0,0
LS-08,EL,A,27,0,27,0,0,0,0,0,0
TEL-07,EL,B,45,0,45,0,29,45,0,0,0
120-02,EL,C,352,107,245,0,8,8,20,35,95
LS-01,EL,B,43,17,26,0,0,0,2,2,11
4000-15,PI,A,2,2,0,0,0,0,0,0,0
5000-01,IN,B,25,0,25,2,2,25,0,0,0
2000-05,PI,C,72,0,72,0,0,2,0,0,0
4000-10,PI,C,2,0,2,0,0,0,0,0,0
120-13,EL,C,6,0,6,0,0,6,0,0,0
5000-04,PI,B,30,28,2,0,0,0,0,0,0
7000-01,PI,C,57,1,56,0,0,1,0,0,0
4000-08,PI,A,4,4,0,0,0,0,0,0,0
1000-01,IN,A,3,0,3,0,3,3,0,0,0
3000-01,PI,C,48,0,48,0,0,0,0,0,0
5000-02,MES,B,8,8,0,0,0,0,0,0,0
3000-03,PI,C,67,0,67,0,0,0,0,0,0
2000-06,PI,C,15,0,15,0,0,0,0,0,0
5000-02,IN,B,17,0,17,10,10,17,0,0,0
LS-02,EL,B,29,13,16,0,0,0,1,1,8
120-17,EL,C,20,0,20,0,0,0,0,0,0
TEL-07,EL,C,17,0,17,0,15,17,0,0,0
1000-01,PI,B,7,7,0,0,0,0,0,0,0
3000-03,MES,C,20,0,20,0,0,0,0,0,0
DCS-01,IN,B,305,0,305,0,0,31,0,0,0
1000-03,MES,A,4,0,4,0,0,0,0,0,0
5000-04,IN,A,72,0,72,0,6,72,0,0,0
TEL-06,EL,A,6,0,6,0,0,6,0,0,0
7000-01,IN,A,15,0,15,0,7,15,0,0,0
LS-01,EL,C,30,6,24,0,0,0,0,0,6
3000-04,PI,C,10,0,10,0,3,3,0,0,0
3000-03,IN,A,24,0,24,0,0,24,0,0,0
120-02,EL,B,662,321,341,0,10,10,34,49,99
5000-03,PI,B,56,56,0,0,0,0,0,0,3
LS-10,EL,A,67,0,67,0,0,0,0,0,0
4000-04,PI,A,3,3,0,0,0,0,0,0,0
4000-14_AG,PI,C,53,0,53,0,0,2,0,0,0
2000-04,IN,B,16,0,16,0,16,16,0,0,0
5000-04,MES,C,21,0,21,0,0,0,0,0,0
4000-06,IN,B,2,0,2,0,0,2,0,0,0
120-13,EL,B,74,72,2,0,0,2,0,0,0
2000-02,IN,C,2,0,2,0,2,2,0,0,0
1000-03,PI,C,115,1,114,0,0,0,0,0,1
3000-02,IN,A,12,0,12,0,0,12,0,0,0
5000-01,IN,A,231,0,231,1,18,231,0,0,0
LS-03,EL,A,1472,1416,56,0,0,1472,0,1416,1416
4000-13,PI,C,11,0,11,0,0,3,0,0,0
120-12,EL,B,4,0,4,0,3,3,0,0,0
2000-01,IN,C,1,0,1,0,1,1,0,0,0
3000-01,PI,B,18,15,3,0,0,0,0,0,0
5000-02,PI,C,95,2,93,0,0,3,0,0,1
2000-05,MES,C,37,2,35,0,0,5,0,0,0
LS-02,EL,A,7,1,6,0,0,0,0,0,1
120-03,EL,C,367,106,261,0,17,17,19,19,106
5000-01,PI,C,151,16,135,0,0,7,0,0,16
4000-03,IN,C,1,0,1,0,0,1,0,0,0
120-10,EL,A,52,0,52,0,0,20,0,0,0
120-02,EL,A,255,114,141,0,8,8,0,96,114
3000-02,PI,B,4,4,0,0,0,0,0,0,0
7000-01,MES,C,6,0,6,0,0,0,0,0,0
120-06,EL,C,198,18,180,0,0,10,0,10,18
4000-14_UG,PI,B,5,0,5,0,0,0,0,0,0
4000-02,IN,C,6,0,6,0,0,6,0,0,0
LS-12,EL,B,199,71,128,0,0,41,0,49,71
4000-11,PI,C,7,0,7,0,0,0,0,0,0
120-18,EL,B,12,0,12,0,0,0,0,0,0
1000-02,PI,C,9,0,9,0,0,0,0,0,0
120-11,EL,C,6,0,6,0,0,0,0,0,0
2000-05,IN,C,19,0,19,0,1,19,0,0,0
1000-02,PI,B,15,4,11,0,0,0,0,0,0
2000-01,IN,B,4,0,4,0,4,4,0,0,0
120-18,EL,C,2,0,2,0,2,2,0,0,0
5000-02,PI,B,33,32,1,0,0,0,0,0,0
120-07,EL,C,146,31,115,0,3,3,4,9,19
4000-12,PI,B,3,3,0,0,0,0,0,0,0
5000-05,IN,A,11,0,11,0,0,11,0,0,0
5000-05,PI,B,7,7,0,0,0,0,0,0,0
2000-02,IN,B,8,0,8,0,8,8,0,0,0
4000-14_AG,PI,B,37,31,6,0,0,0,0,0,0
2000-04,IN,C,4,0,4,0,4,4,0,0,0
LS-06,EL,A,12,6,6,0,0,0,0,6,6
2000-05,MES,B,6,6,0,0,0,0,0,0,0
4000-04,IN,C,2,0,2,0,0,2,0,0,0
TEL-07,EL,A,50,0,50,0,28,50,0,0,0
5000-02,IN,A,144,0,144,5,5,144,0,0,0
1000-01,MES,A,9,0,9,0,0,0,0,0,0
4000-08,IN,C,2,0,2,0,2,2,0,0,0
1000-03,PI,B,50,47,3,0,0,0,0,0,0
120-03,EL,B,560,185,375,0,52,52,49,49,149
120-06,EL,B,590,170,420,0,0,156,0,10,10
3000-02,PI,C,31,0,31,0,0,0,0,0,0
120-09,EL,A,4,0,4,0,4,4,0,0,0
4000-14_UG,PI,C,44,0,44,2,2,2,0,0,0
5000-03,MES,C,34,2,32,0,0,2,0,0,0
4000-02,IN,B,2,0,2,0,0,2,0,0,0
120-16,EL,A,26,16,10,0,0,0,1,16,16
120-07,EL,B,252,86,166,0,7,7,6,11,35
120-11,EL,B,20,6,14,0,0,0,0,0,6
4000-03,IN,B,1,0,1,0,0,1,0,0,0
4000-11,PI,B,2,2,0,0,0,0,0,0,0
3000-01,IN,A,4,0,4,0,0,4,0,0,0
3000-02,MES,C,19,0,19,0,0,9,0,0,0
5000-01,PI,B,64,51,13,0,0,0,0,0,0
120-01,EL,A,423,241,182,0,7,7,0,0,241
